sender,sender_country,university_country,university_ranking,request_purpose,replied,paper_domain,h_index,academic_age
James Whitfield,England,South Africa,High,final course project,0,Health Sciences,35.0,26.0
James Whitfield,England,South Africa,Low,final course project,1,Physical Sciences,28.0,29.0
James Whitfield,England,England,High,final course project,0,Physical Sciences,10.0,25.0
James Whitfield,England,South Africa,Low,journal article,0,Life Sciences,98.0,
James Whitfield,England,England,High,final course project,0,Life Sciences,17.0,20.0
Kabelo Molefe,South Africa,South Africa,Low,final course project,0,Life Sciences,33.0,22.0
Kabelo Molefe,South Africa,South Africa,Low,final course project,0,Life Sciences,33.0,46.0
James Whitfield,England,England,High,journal article,0,Life Sciences,67.0,
James Whitfield,England,England,Low,journal article,1,Life Sciences,14.0,20.0
James Whitfield,England,South Africa,High,journal article,1,Life Sciences,96.0,45.0
James Whitfield,England,England,Low,journal article,0,Physical Sciences,13.0,
Kabelo Molefe,South Africa,South Africa,Low,journal article,0,Life Sciences,10.0,43.0
Kabelo Molefe,South Africa,England,High,final course project,0,Health Sciences,35.0,29.0
James Whitfield,England,South Africa,Low,final course project,0,Physical Sciences,46.0,49.0
Kabelo Molefe,South Africa,England,High,journal article,0,Physical Sciences,79.0,26.0
James Whitfield,England,England,High,journal article,0,Physical Sciences,113.0,31.0
Kabelo Molefe,South Africa,South Africa,Low,final course project,0,Physical Sciences,34.0,40.0
Kabelo Molefe,South Africa,England,High,journal article,0,Physical Sciences,42.0,26.0
James Whitfield,England,England,Low,journal article,0,Physical Sciences,66.0,
James Whitfield,England,South Africa,Low,final course project,0,Physical Sciences,110.0,29.0
Kabelo Molefe,South Africa,South Africa,Low,journal article,0,Physical Sciences,137.0,30.0
James Whitfield,England,England,Low,journal article,0,Physical Sciences,26.0,29.0
James Whitfield,England,South Africa,Low,final course project,0,Life Sciences,22.0,49.0
James Whitfield,England,South Africa,High,journal article,0,Physical Sciences,76.0,23.0
James Whitfield,England,England,Low,journal article,0,Physical Sciences,33.0,17.0
Kabelo Molefe,South Africa,South Africa,High,journal article,1,Physical Sciences,44.0,
James Whitfield,England,England,Low,journal article,0,Physical Sciences,55.0,43.0
James Whitfield,England,South Africa,Low,final course project,0,Health Sciences,45.0,34.0
James Whitfield,England,England,Low,final course project,1,,,
Kabelo Molefe,South Africa,South Africa,Low,journal article,0,Life Sciences,111.0,
James Whitfield,England,South Africa,Low,journal article,1,Life Sciences,40.0,36.0
James Whitfield,England,South Africa,High,final course project,0,Life Sciences,76.0,25.0
James Whitfield,England,England,Low,journal article,0,Health Sciences,20.0,42.0
Kabelo Molefe,South Africa,England,High,journal article,0,,73.0,38.0
James Whitfield,England,South Africa,High,journal article,0,Physical Sciences,49.0,22.0
Kabelo Molefe,South Africa,South Africa,Low,journal article,0,,24.0,
Kabelo Molefe,South Africa,England,High,journal article,0,Social Sciences,7.0,7.0
