Venue,Status,Sender,h_index,academic_age,paper_domain,matching_country,replied,positive_reply
Scientific Reports,Opened,nigerian,17.0,12.0,Physical Sciences,No Match,0,0.0
Scientific Reports,Opened,german,,,,No Match,0,0.0
Scientific Reports,Opened,german,,,,No Match,0,0.0
Scientific Reports,Opened,nigerian,6.0,9.0,Health Sciences,No Match,0,0.0
Scientific Reports,Opened,german,20.0,13.0,Physical Sciences,No Match,0,0.0
Scientific Reports,Unopened,pakistani_lums,,,,No Match,0,0.0
Scientific Reports,Unopened,pakistani_lums,29.0,13.0,Health Sciences,No Match,0,0.0
Nature Communications,Opened,pakistani_nyu,26.0,12.0,Health Sciences,No Match,0,0.0
Scientific Reports,Unopened,pakistani_nyu,41.0,13.0,Health Sciences,No Match,0,0.0
Scientific Reports,Unopened,nigerian,31.0,13.0,Life Sciences,No Match,0,0.0
Scientific Reports,Unopened,german,5.0,13.0,Physical Sciences,No Match,0,0.0
Scientific Reports,Unopened,pakistani_lums,53.0,13.0,Health Sciences,No Match,0,0.0
Scientific Reports,Unopened,nigerian,,,,No Match,0,0.0
Nature Communications,Unopened,german,,,,No Match,0,0.0
Scientific Reports,Unopened,pakistani_lums,20.0,13.0,Health Sciences,No Match,0,0.0
Scientific Reports,Opened,nigerian,18.0,13.0,Life Sciences,No Match,0,0.0
Scientific Reports,Opened,pakistani_lums,48.0,13.0,Life Sciences,No Match,1,0.0
Scientific Reports,Opened,nigerian,31.0,13.0,Health Sciences,No Match,0,0.0
Scientific Reports,Unopened,pakistani_lums,25.0,13.0,Life Sciences,No Match,0,0.0
Nature Communications,Unopened,nigerian,10.0,11.0,Life Sciences,No Match,0,0.0
Scientific Reports,Unopened,pakistani_nyu,25.0,13.0,Health Sciences,No Match,0,0.0
Scientific Reports,Opened,pakistani_nyu,19.0,13.0,Life Sciences,No Match,0,0.0
Scientific Reports,Unopened,pakistani_nyu,,,,No Match,0,0.0
Scientific Reports,Unopened,pakistani_lums,9.0,13.0,Health Sciences,No Match,0,0.0
Scientific Reports,Opened,pakistani_lums,13.0,13.0,Health Sciences,No Match,0,0.0
Scientific Reports,Opened,pakistani_nyu,9.0,13.0,Health Sciences,No Match,0,0.0
Scientific Reports,Unopened,nigerian,8.0,7.0,Life Sciences,Match Nigerian,0,0.0
Scientific Reports,Unopened,german,10.0,13.0,Physical Sciences,No Match,0,0.0
Nature Communications,Opened,nigerian,63.0,13.0,Health Sciences,No Match,0,0.0
Nature Communications,Opened,nigerian,21.0,13.0,Health Sciences,No Match,0,0.0
Scientific Reports,Opened,pakistani_nyu,25.0,13.0,Life Sciences,No Match,0,0.0
Scientific Reports,Unopened,german,7.0,9.0,Health Sciences,No Match,0,0.0
Scientific Reports,Opened,pakistani_lums,37.0,13.0,Health Sciences,No Match,0,0.0
Scientific Reports,Unopened,nigerian,9.0,13.0,Life Sciences,Match Nigerian,0,0.0
Scientific Reports,Opened,nigerian,90.0,13.0,Health Sciences,No Match,0,0.0
Scientific Reports,Opened,german,20.0,13.0,Health Sciences,No Match,0,0.0
Scientific Reports,Unopened,german,30.0,13.0,Health Sciences,No Match,0,0.0
Scientific Reports,Opened,pakistani_lums,,,,No Match,0,0.0
Scientific Reports,Unopened,nigerian,,,,No Match,0,0.0
Nature Communications,Opened,pakistani_lums,,,,No Match,1,1.0
Scientific Reports,Unopened,nigerian,,,,No Match,0,0.0
Scientific Reports,Opened,german,,,,No Match,0,0.0
Scientific Reports,Unopened,pakistani_nyu,7.0,13.0,Health Sciences,No Match,0,0.0
Scientific Reports,Opened,nigerian,54.0,13.0,Physical Sciences,No Match,0,0.0
Scientific Reports,Unopened,pakistani_nyu,14.0,13.0,Physical Sciences,No Match,0,0.0
Scientific Reports,Opened,german,,,,No Match,1,0.0
Nature Communications,Unopened,pakistani_lums,,,,No Match,0,0.0
Scientific Reports,Opened,pakistani_nyu,14.0,13.0,Health Sciences,No Match,0,0.0
Scientific Reports,Unopened,nigerian,110.0,13.0,Life Sciences,No Match,0,0.0
Nature Communications,Opened,nigerian,1.0,12.0,Health Sciences,No Match,0,0.0
Scientific Reports,Opened,nigerian,30.0,13.0,Life Sciences,No Match,0,0.0
Scientific Reports,Opened,nigerian,62.0,13.0,Health Sciences,No Match,0,0.0
Scientific Reports,Opened,nigerian,1.0,6.0,Physical Sciences,Match Nigerian,0,0.0
Scientific Reports,Unopened,nigerian,16.0,13.0,Life Sciences,No Match,0,0.0
Scientific Reports,Unopened,pakistani_nyu,1.0,1.0,Physical Sciences,No Match,0,0.0
Scientific Reports,Opened,pakistani_nyu,16.0,13.0,Life Sciences,No Match,0,0.0
Scientific Reports,Unopened,german,,,,No Match,0,0.0
Scientific Reports,Unopened,german,,,,No Match,0,0.0
Scientific Reports,Unopened,pakistani_lums,50.0,13.0,Life Sciences,No Match,0,0.0
Scientific Reports,Unopened,pakistani_lums,9.0,13.0,Health Sciences,No Match,0,0.0
Scientific Reports,Opened,nigerian,,,,No Match,1,0.0
Scientific Reports,Opened,pakistani_nyu,69.0,13.0,Health Sciences,No Match,0,0.0
Scientific Reports,Opened,nigerian,26.0,11.0,Physical Sciences,No Match,0,0.0
Scientific Reports,Opened,pakistani_nyu,21.0,13.0,Health Sciences,No Match,0,0.0
Scientific Reports,Opened,pakistani_lums,,,,No Match,0,0.0
