sender_name,sender_status,sender_university,h_index,academic_age,paper_domain,institution_continent,matching_continent,replied,is_positive_reply
Karl Muller,Class project,New York University,4.0,13.0,Life Sciences,Northern America,No Match,0,0
Karl Muller,Journal Article,New York University,12.0,13.0,Physical Sciences,East Asia,No Match,0,0
Karl Muller,Class project,Louisiana State University,32.0,13.0,Physical Sciences,East Asia,No Match,0,0
Karl Muller,Journal Article,New York University,1.0,3.0,Physical Sciences,Southeast Asia,No Match,0,0
Karl Muller,Class project,New York University,5.0,6.0,Health Sciences,Northern America,No Match,1,1
Karl Muller,Journal Article,Louisiana State University,59.0,13.0,Physical Sciences,East Asia,No Match,0,0
Karl Muller,Journal Article,New York University,28.0,13.0,Physical Sciences,South Asia,No Match,0,0
Karl Muller,Class project,San Diego State University,16.0,13.0,Life Sciences,East Asia,No Match,0,0
Karl Muller,Class project,San Diego State University,49.0,13.0,Physical Sciences,East Asia,No Match,0,0
Karl Muller,Journal Article,New York University,31.0,13.0,Life Sciences,East Asia,No Match,0,0
Karl Muller,Class project,New York University,27.0,12.0,Physical Sciences,South Asia,No Match,1,1
Karl Muller,Journal Article,Louisiana State University,24.0,12.0,Physical Sciences,Eastern Europe,No Match,1,1
Karl Muller,Class project,San Diego State University,58.0,13.0,Health Sciences,Northern America,No Match,0,0
Karl Muller,Class project,San Diego State University,6.0,11.0,Physical Sciences,East Asia,No Match,0,0
Karl Muller,Class project,San Diego State University,12.0,13.0,Physical Sciences,East Asia,No Match,0,0
Karl Muller,Journal Article,Louisiana State University,33.0,13.0,Life Sciences,East Asia,No Match,0,0
Karl Muller,Class project,Louisiana State University,5.0,11.0,Health Sciences,Southern Europe,No Match,0,0
Karl Muller,Journal Article,San Diego State University,7.0,12.0,Physical Sciences,East Asia,No Match,0,0
Karl Muller,Class project,San Diego State University,16.0,13.0,Physical Sciences,East Asia,No Match,0,0
Karl Muller,Journal Article,New York University,0.0,3.0,Social Sciences,Australia and New Zealand,No Match,1,1
Karl Muller,Class project,Louisiana State University,42.0,13.0,Social Sciences,Northern America,No Match,0,0
Karl Muller,Class project,San Diego State University,21.0,12.0,Physical Sciences,East Asia,No Match,0,0
Karl Muller,Journal Article,San Diego State University,55.0,13.0,Physical Sciences,East Asia,No Match,0,0
Karl Muller,Class project,New York University,0.0,4.0,Physical Sciences,East Asia,No Match,0,0
Karl Muller,Journal Article,San Diego State University,40.0,13.0,Physical Sciences,Western Europe,Match German,0,0
Karl Muller,Class project,New York University,8.0,13.0,Social Sciences,Northern America,No Match,0,0
Karl Muller,Journal Article,New York University,7.0,13.0,Social Sciences,Northern America,No Match,0,0
Karl Muller,Journal Article,Louisiana State University,12.0,13.0,Health Sciences,East Asia,No Match,0,0
Karl Muller,Class project,San Diego State University,12.0,13.0,Physical Sciences,East Asia,No Match,0,0
Karl Muller,Journal Article,San Diego State University,22.0,13.0,Physical Sciences,Southeast Asia,No Match,0,0
Karl Muller,Class project,San Diego State University,20.0,13.0,Physical Sciences,East Asia,No Match,0,0
Karl Muller,Journal Article,San Diego State University,5.0,13.0,Physical Sciences,East Asia,No Match,0,0
Karl Muller,Journal Article,New York University,47.0,13.0,Physical Sciences,East Asia,No Match,0,0
Karl Muller,Class project,San Diego State University,9.0,8.0,Social Sciences,Western Europe,Match German,0,0
Karl Muller,Class project,San Diego State University,37.0,13.0,Physical Sciences,East Asia,No Match,0,0
Karl Muller,Journal Article,Louisiana State University,23.0,13.0,Physical Sciences,East Asia,No Match,0,0
Karl Muller,Journal Article,San Diego State University,61.0,13.0,Physical Sciences,East Asia,No Match,1,1
Karl Muller,Class project,New York University,9.0,13.0,Health Sciences,East Asia,No Match,0,0
Karl Muller,Class project,San Diego State University,42.0,13.0,Physical Sciences,East Asia,No Match,0,0
Karl Muller,Journal Article,Louisiana State University,8.0,9.0,Physical Sciences,East Asia,No Match,1,1
Karl Muller,Class project,San Diego State University,1.0,8.0,Physical Sciences,Northern America,No Match,0,0
Karl Muller,Journal Article,New York University,11.0,13.0,Physical Sciences,Northern America,No Match,1,0
Karl Muller,Journal Article,New York University,1.0,2.0,Physical Sciences,East Asia,No Match,0,0
Karl Muller,Journal Article,New York University,62.0,13.0,Physical Sciences,East Asia,No Match,0,0
Karl Muller,Journal Article,San Diego State University,13.0,10.0,Physical Sciences,East Asia,No Match,0,0
Karl Muller,Journal Article,San Diego State University,52.0,13.0,Physical Sciences,South Asia,No Match,1,1
Karl Muller,Class project,Louisiana State University,42.0,13.0,Physical Sciences,East Asia,No Match,0,0
Karl Muller,Class project,New York University,21.0,13.0,Physical Sciences,South Asia,No Match,0,0
Karl Muller,Class project,New York University,11.0,10.0,Physical Sciences,North Africa,No Match,0,0
Karl Muller,Class project,Louisiana State University,15.0,13.0,Social Sciences,Northern America,No Match,1,1
Karl Muller,Journal Article,Louisiana State University,24.0,13.0,Physical Sciences,East Asia,No Match,0,0
Karl Muller,Class project,Louisiana State University,11.0,13.0,Health Sciences,Northern America,No Match,1,0
Karl Muller,Journal Article,Louisiana State University,7.0,10.0,Physical Sciences,East Asia,No Match,0,0
Karl Muller,Class project,New York University,1.0,11.0,Health Sciences,East Asia,No Match,0,0
Karl Muller,Class project,San Diego State University,33.0,13.0,Physical Sciences,East Asia,No Match,0,0
Karl Muller,Journal Article,Louisiana State University,59.0,13.0,Life Sciences,East Asia,No Match,0,0
Karl Muller,Class project,New York University,16.0,11.0,Physical Sciences,East Asia,No Match,0,0
Karl Muller,Journal Article,New York University,3.0,9.0,Health Sciences,South Asia,No Match,0,0
Karl Muller,Class project,New York University,3.0,5.0,Physical Sciences,East Asia,No Match,0,0
Karl Muller,Journal Article,New York University,41.0,13.0,Health Sciences,East Asia,No Match,0,0
Karl Muller,Class project,Louisiana State University,32.0,13.0,Social Sciences,Northern America,No Match,1,1
Karl Muller,Journal Article,San Diego State University,25.0,13.0,Physical Sciences,East Asia,No Match,0,0
Karl Muller,Class project,New York University,20.0,13.0,Health Sciences,East Asia,No Match,0,0
Karl Muller,Journal Article,New York University,8.0,13.0,Life Sciences,West Asia,No Match,1,0
Karl Muller,Journal Article,New York University,9.0,5.0,Health Sciences,Northern America,No Match,0,0
Karl Muller,Journal Article,San Diego State University,28.0,13.0,Physical Sciences,Eastern Europe,No Match,1,1
Karl Muller,Class project,New York University,52.0,13.0,Social Sciences,Northern America,No Match,0,0
Karl Muller,Journal Article,Louisiana State University,14.0,13.0,Health Sciences,Western Europe,Match German,1,1
Karl Muller,Journal Article,San Diego State University,25.0,4.0,Social Sciences,West Africa,No Match,0,0
Karl Muller,Journal Article,San Diego State University,35.0,13.0,Physical Sciences,Southeast Asia,No Match,0,0
Karl Muller,Class project,New York University,2.0,12.0,Life Sciences,South Asia,No Match,0,0
Karl Muller,Journal Article,Louisiana State University,23.0,13.0,Health Sciences,Eastern Europe,No Match,1,1
Karl Muller,Class project,San Diego State University,8.0,13.0,Physical Sciences,East Asia,No Match,0,0
Karl Muller,Class project,New York University,22.0,13.0,Physical Sciences,Southern Cone,No Match,0,0
Karl Muller,Journal Article,New York University,29.0,13.0,Life Sciences,East Asia,No Match,0,0
Karl Muller,Journal Article,New York University,14.0,13.0,Life Sciences,South Asia,No Match,0,0
Karl Muller,Journal Article,San Diego State University,2.0,4.0,Physical Sciences,East Asia,No Match,0,0
Karl Muller,Class project,San Diego State University,24.0,13.0,Physical Sciences,East Asia,No Match,0,0
Karl Muller,Class project,San Diego State University,26.0,13.0,Health Sciences,East Asia,No Match,0,0
Karl Muller,Journal Article,San Diego State University,17.0,13.0,Physical Sciences,East Asia,No Match,0,0
Karl Muller,Journal Article,San Diego State University,50.0,13.0,Physical Sciences,South Asia,No Match,1,1
Karl Muller,Journal Article,Louisiana State University,2.0,9.0,Social Sciences,East Asia,No Match,0,0
Karl Muller,Journal Article,New York University,15.0,10.0,Health Sciences,Western Europe,Match German,0,0
Karl Muller,Class project,New York University,8.0,13.0,Health Sciences,Southern Cone,No Match,0,0
Karl Muller,Journal Article,New York University,6.0,13.0,Health Sciences,Southern Cone,No Match,1,1
Karl Muller,Class project,New York University,21.0,13.0,Health Sciences,Southern Europe,No Match,0,0
Karl Muller,Journal Article,Louisiana State University,30.0,13.0,Physical Sciences,East Asia,No Match,0,0
Karl Muller,Journal Article,Louisiana State University,28.0,13.0,Physical Sciences,East Asia,No Match,0,0
Karl Muller,Journal Article,San Diego State University,138.0,13.0,Health Sciences,Australia and New Zealand,No Match,0,0
Karl Muller,Class project,Louisiana State University,59.0,13.0,Physical Sciences,East Asia,No Match,0,0
Karl Muller,Class project,San Diego State University,8.0,12.0,Physical Sciences,East Asia,No Match,0,0
Karl Muller,Journal Article,San Diego State University,10.0,11.0,Physical Sciences,Southeast Asia,No Match,1,1
Karl Muller,Journal Article,New York University,42.0,13.0,Health Sciences,Southern Europe,No Match,0,0
Karl Muller,Journal Article,New York University,11.0,13.0,Social Sciences,Northern America,No Match,0,0
Karl Muller,Journal Article,New York University,16.0,13.0,Life Sciences,East Asia,No Match,0,0
Karl Muller,Class project,New York University,59.0,13.0,Physical Sciences,East Asia,No Match,1,1
Karl Muller,Class project,Louisiana State University,6.0,11.0,Social Sciences,Northern Europe,No Match,0,0
Karl Muller,Journal Article,San Diego State University,28.0,13.0,Physical Sciences,East Asia,No Match,0,0
Karl Muller,Journal Article,San Diego State University,39.0,13.0,Life Sciences,East Asia,No Match,0,0
Karl Muller,Class project,New York University,31.0,13.0,Physical Sciences,East Asia,No Match,0,0
Karl Muller,Journal Article,San Diego State University,42.0,13.0,Physical Sciences,East Asia,No Match,0,0
Karl Muller,Journal Article,Louisiana State University,8.0,11.0,Physical Sciences,East Asia,No Match,0,0
Karl Muller,Journal Article,New York University,3.0,5.0,Health Sciences,East Africa,No Match,0,0
Karl Muller,Journal Article,New York University,1.0,4.0,Physical Sciences,Central Asia,No Match,0,0
Karl Muller,Class project,Louisiana State University,4.0,6.0,Physical Sciences,Northern America,No Match,0,0
Karl Muller,Class project,San Diego State University,19.0,13.0,Physical Sciences,West Asia,No Match,1,1
Karl Muller,Journal Article,San Diego State University,9.0,13.0,Life Sciences,East Asia,No Match,0,0
Karl Muller,Journal Article,San Diego State University,38.0,13.0,Physical Sciences,East Asia,No Match,0,0
Karl Muller,Class project,Louisiana State University,8.0,13.0,Physical Sciences,Northern America,No Match,1,0
Karl Muller,Class project,New York University,42.0,13.0,Physical Sciences,East Asia,No Match,0,0
Karl Muller,Class project,San Diego State University,52.0,13.0,Physical Sciences,East Asia,No Match,0,0
